unix_timestamp,datetime_utc,open,high,low,close
1767225600,2026-01-01 00:00:00,0.201,0.2027,0.201,0.2024
1767229200,2026-01-01 01:00:00,0.2024,0.205,0.2023,0.2038
1767232800,2026-01-01 02:00:00,0.2038,0.2041,0.2029,0.2032
1767236400,2026-01-01 03:00:00,0.2032,0.2038,0.2024,0.2027
1767240000,2026-01-01 04:00:00,0.2027,0.2029,0.2023,0.2025
1767243600,2026-01-01 05:00:00,0.2025,0.2031,0.2024,0.2029
1767247200,2026-01-01 06:00:00,0.2028,0.203,0.2024,0.2025
1767250800,2026-01-01 07:00:00,0.2026,0.2032,0.2024,0.2028
1767254400,2026-01-01 08:00:00,0.2028,0.2036,0.2025,0.2036
1767258000,2026-01-01 09:00:00,0.2036,0.205,0.2036,0.2045
1767261600,2026-01-01 10:00:00,0.2045,0.2053,0.2043,0.2049
1767265200,2026-01-01 11:00:00,0.2049,0.2053,0.2044,0.205
1767268800,2026-01-01 12:00:00,0.205,0.2053,0.2045,0.2045
1767272400,2026-01-01 13:00:00,0.2044,0.2059,0.2043,0.2057
1767276000,2026-01-01 14:00:00,0.2057,0.2064,0.2049,0.2055
1767279600,2026-01-01 15:00:00,0.2055,0.2075,0.205,0.2067
1767283200,2026-01-01 16:00:00,0.2066,0.2073,0.206,0.207
1767286800,2026-01-01 17:00:00,0.2071,0.2102,0.2071,0.2092
1767290400,2026-01-01 18:00:00,0.2092,0.2096,0.2052,0.2057
1767294000,2026-01-01 19:00:00,0.2057,0.2065,0.2052,0.2065
1767297600,2026-01-01 20:00:00,0.2065,0.2076,0.2063,0.207
1767301200,2026-01-01 21:00:00,0.207,0.2076,0.2066,0.2072
1767304800,2026-01-01 22:00:00,0.2071,0.2092,0.2071,0.2091
1767308400,2026-01-01 23:00:00,0.2091,0.2094,0.2085,0.2087
1767312000,2026-01-02 00:00:00,0.2087,0.2088,0.2075,0.2084
1767315600,2026-01-02 01:00:00,0.2084,0.2087,0.2072,0.2077
1767319200,2026-01-02 02:00:00,0.2076,0.2076,0.2056,0.206
1767322800,2026-01-02 03:00:00,0.206,0.2098,0.2056,0.209
1767326400,2026-01-02 04:00:00,0.2091,0.2093,0.2072,0.2075
1767330000,2026-01-02 05:00:00,0.2075,0.208,0.207,0.2079
1767333600,2026-01-02 06:00:00,0.2078,0.2081,0.2071,0.2072
1767337200,2026-01-02 07:00:00,0.2073,0.2075,0.2058,0.2059
1767340800,2026-01-02 08:00:00,0.206,0.2076,0.2058,0.2075
1767344400,2026-01-02 09:00:00,0.2076,0.2116,0.2072,0.2107
1767348000,2026-01-02 10:00:00,0.2107,0.2125,0.2107,0.2121
1767351600,2026-01-02 11:00:00,0.2122,0.2122,0.2093,0.2098
1767355200,2026-01-02 12:00:00,0.2097,0.2122,0.2093,0.212
1767358800,2026-01-02 13:00:00,0.212,0.213,0.2115,0.2117
1767362400,2026-01-02 14:00:00,0.2117,0.2137,0.209,0.2127
1767366000,2026-01-02 15:00:00,0.2126,0.214,0.21,0.2113
1767369600,2026-01-02 16:00:00,0.2112,0.2173,0.2111,0.2171
1767373200,2026-01-02 17:00:00,0.2171,0.219,0.2165,0.2176
1767376800,2026-01-02 18:00:00,0.2175,0.2182,0.215,0.2159
1767380400,2026-01-02 19:00:00,0.216,0.216,0.215,0.2154
1767384000,2026-01-02 20:00:00,0.2154,0.2158,0.2148,0.2154
1767387600,2026-01-02 21:00:00,0.2153,0.2193,0.215,0.219
1767391200,2026-01-02 22:00:00,0.2191,0.2208,0.2171,0.2199
1767394800,2026-01-02 23:00:00,0.2198,0.2205,0.2184,0.2191
1767398400,2026-01-03 00:00:00,0.2191,0.2258,0.2191,0.2232
1767402000,2026-01-03 01:00:00,0.2232,0.2249,0.2226,0.2235
1767405600,2026-01-03 02:00:00,0.2234,0.2242,0.222,0.2239
1767409200,2026-01-03 03:00:00,0.2239,0.2264,0.2229,0.2262
1767412800,2026-01-03 04:00:00,0.2262,0.2276,0.2255,0.2274
1767416400,2026-01-03 05:00:00,0.2273,0.2278,0.2237,0.224
1767420000,2026-01-03 06:00:00,0.2239,0.2248,0.2198,0.2205
1767423600,2026-01-03 07:00:00,0.2205,0.221,0.2168,0.2183
1767427200,2026-01-03 08:00:00,0.2183,0.2197,0.2172,0.2193
1767430800,2026-01-03 09:00:00,0.2193,0.2209,0.219,0.2198
1767434400,2026-01-03 10:00:00,0.2198,0.2199,0.2181,0.2189
1767438000,2026-01-03 11:00:00,0.2189,0.2191,0.218,0.2185
1767441600,2026-01-03 12:00:00,0.2185,0.2195,0.2181,0.2191
1767445200,2026-01-03 13:00:00,0.219,0.2205,0.2189,0.2201
1767448800,2026-01-03 14:00:00,0.2202,0.2211,0.2198,0.2202
1767452400,2026-01-03 15:00:00,0.2202,0.2202,0.2188,0.2189
1767456000,2026-01-03 16:00:00,0.2189,0.2212,0.2186,0.2206
1767459600,2026-01-03 17:00:00,0.2207,0.2212,0.2199,0.2205
1767463200,2026-01-03 18:00:00,0.2204,0.2207,0.2195,0.2206
1767466800,2026-01-03 19:00:00,0.2206,0.2206,0.2199,0.2202
1767470400,2026-01-03 20:00:00,0.2203,0.2206,0.2189,0.2201
1767474000,2026-01-03 21:00:00,0.2201,0.2209,0.2195,0.2201
1767477600,2026-01-03 22:00:00,0.2201,0.2216,0.2197,0.2214
1767481200,2026-01-03 23:00:00,0.2215,0.2222,0.2212,0.2222
