unix_timestamp,datetime_utc,open,high,low,close
1767225600,2026-01-01 00:00:00,1.8424,1.8499,1.8404,1.8456
1767229200,2026-01-01 01:00:00,1.8455,1.8478,1.8403,1.8415
1767232800,2026-01-01 02:00:00,1.8416,1.8431,1.8392,1.8399
1767236400,2026-01-01 03:00:00,1.8399,1.8419,1.8342,1.8345
1767240000,2026-01-01 04:00:00,1.8345,1.8348,1.8261,1.8308
1767243600,2026-01-01 05:00:00,1.8308,1.8558,1.8307,1.8449
1767247200,2026-01-01 06:00:00,1.8449,1.848,1.8444,1.8456
1767250800,2026-01-01 07:00:00,1.8456,1.8472,1.8416,1.8423
1767254400,2026-01-01 08:00:00,1.8423,1.8513,1.8419,1.8501
1767258000,2026-01-01 09:00:00,1.8502,1.8552,1.8493,1.8523
1767261600,2026-01-01 10:00:00,1.8524,1.855,1.8515,1.8533
1767265200,2026-01-01 11:00:00,1.8534,1.8564,1.85,1.8554
1767268800,2026-01-01 12:00:00,1.8554,1.8564,1.8514,1.8528
1767272400,2026-01-01 13:00:00,1.8529,1.8593,1.8521,1.8583
1767276000,2026-01-01 14:00:00,1.8583,1.8602,1.8525,1.8562
1767279600,2026-01-01 15:00:00,1.8562,1.8678,1.8521,1.8628
1767283200,2026-01-01 16:00:00,1.8628,1.8648,1.8563,1.8646
1767286800,2026-01-01 17:00:00,1.8646,1.8754,1.8645,1.8689
1767290400,2026-01-01 18:00:00,1.8689,1.8714,1.8652,1.8691
1767294000,2026-01-01 19:00:00,1.8691,1.8742,1.8674,1.8742
1767297600,2026-01-01 20:00:00,1.8742,1.8764,1.8682,1.8718
1767301200,2026-01-01 21:00:00,1.8718,1.873,1.8674,1.8712
1767304800,2026-01-01 22:00:00,1.8711,1.8765,1.8684,1.8762
1767308400,2026-01-01 23:00:00,1.8762,1.8811,1.872,1.8799
1767312000,2026-01-02 00:00:00,1.8799,1.882,1.875,1.8792
1767315600,2026-01-02 01:00:00,1.8792,1.88,1.872,1.8725
1767319200,2026-01-02 02:00:00,1.8724,1.8772,1.8689,1.8772
1767322800,2026-01-02 03:00:00,1.8772,1.8925,1.8754,1.8886
1767326400,2026-01-02 04:00:00,1.8887,1.8905,1.8761,1.877
1767330000,2026-01-02 05:00:00,1.877,1.8775,1.8721,1.8759
1767333600,2026-01-02 06:00:00,1.876,1.8816,1.8747,1.8773
1767337200,2026-01-02 07:00:00,1.8772,1.8783,1.8708,1.8718
1767340800,2026-01-02 08:00:00,1.8719,1.8811,1.8715,1.8806
1767344400,2026-01-02 09:00:00,1.8806,1.9017,1.8785,1.8971
1767348000,2026-01-02 10:00:00,1.8972,1.9091,1.8968,1.8973
1767351600,2026-01-02 11:00:00,1.8973,1.8978,1.8873,1.8911
1767355200,2026-01-02 12:00:00,1.8912,1.9025,1.8897,1.899
1767358800,2026-01-02 13:00:00,1.8991,1.9049,1.896,1.8968
1767362400,2026-01-02 14:00:00,1.8969,1.9232,1.8874,1.9169
1767366000,2026-01-02 15:00:00,1.9169,1.9253,1.8987,1.9184
1767369600,2026-01-02 16:00:00,1.9185,1.9643,1.9158,1.963
1767373200,2026-01-02 17:00:00,1.9629,1.9979,1.9628,1.9926
1767376800,2026-01-02 18:00:00,1.9926,1.998,1.9693,1.9782
1767380400,2026-01-02 19:00:00,1.9783,1.9956,1.9724,1.9916
1767384000,2026-01-02 20:00:00,1.9915,1.9976,1.9774,1.9793
1767387600,2026-01-02 21:00:00,1.9793,2.0215,1.9793,2.0171
1767391200,2026-01-02 22:00:00,2.0171,2.0315,2.0102,2.0155
1767394800,2026-01-02 23:00:00,2.0156,2.0188,2.0046,2.0069
1767398400,2026-01-03 00:00:00,2.0068,2.0396,2.0068,2.0148
1767402000,2026-01-03 01:00:00,2.0147,2.0323,2.012,2.0303
1767405600,2026-01-03 02:00:00,2.0304,2.0306,2.0192,2.0251
1767409200,2026-01-03 03:00:00,2.0251,2.0427,2.0194,2.0402
1767412800,2026-01-03 04:00:00,2.0402,2.056,2.0379,2.0489
1767416400,2026-01-03 05:00:00,2.0489,2.0561,2.0283,2.0315
1767420000,2026-01-03 06:00:00,2.0315,2.0357,2.008,2.0115
1767423600,2026-01-03 07:00:00,2.0115,2.0157,1.9844,1.9941
1767427200,2026-01-03 08:00:00,1.9941,2.0105,1.9924,2.0077
1767430800,2026-01-03 09:00:00,2.0077,2.0217,2.0058,2.0138
1767434400,2026-01-03 10:00:00,2.0139,2.0147,2.0035,2.0055
1767438000,2026-01-03 11:00:00,2.0055,2.0059,1.9975,1.9994
1767441600,2026-01-03 12:00:00,1.9995,2.0057,1.9941,2.0028
1767445200,2026-01-03 13:00:00,2.0029,2.0096,2.0001,2.0052
1767448800,2026-01-03 14:00:00,2.0052,2.0188,2.0045,2.011
1767452400,2026-01-03 15:00:00,2.011,2.013,2.0052,2.0064
1767456000,2026-01-03 16:00:00,2.0065,2.0111,2.0002,2.0024
1767459600,2026-01-03 17:00:00,2.0023,2.0052,1.9964,2.002
1767463200,2026-01-03 18:00:00,2.0021,2.0112,1.9976,2.01
1767466800,2026-01-03 19:00:00,2.0099,2.0099,2.0032,2.0073
1767470400,2026-01-03 20:00:00,2.0073,2.011,1.999,2.008
1767474000,2026-01-03 21:00:00,2.0079,2.0146,2.0048,2.0094
1767477600,2026-01-03 22:00:00,2.0094,2.0174,2.004,2.0145
1767481200,2026-01-03 23:00:00,2.0145,2.0188,2.0124,2.0182
1767484800,2026-01-04 00:00:00,2.0182,2.0485,2.0163,2.0428
1767488400,2026-01-04 01:00:00,2.0429,2.043,2.0267,2.0353
1767492000,2026-01-04 02:00:00,2.0353,2.0374,2.027,2.0311
1767495600,2026-01-04 03:00:00,2.0311,2.062,2.0305,2.0581
1767499200,2026-01-04 04:00:00,2.0581,2.0693,2.0525,2.061
1767502800,2026-01-04 05:00:00,2.0611,2.0759,2.0556,2.067
1767506400,2026-01-04 06:00:00,2.067,2.0735,2.0578,2.0677
1767510000,2026-01-04 07:00:00,2.0678,2.0812,2.0617,2.0721
1767513600,2026-01-04 08:00:00,2.0721,2.085,2.0601,2.0777
1767517200,2026-01-04 09:00:00,2.0776,2.0898,2.0673,2.0866
1767520800,2026-01-04 10:00:00,2.0865,2.0929,2.0784,2.0912
1767524400,2026-01-04 11:00:00,2.0912,2.0974,2.0833,2.0952
1767528000,2026-01-04 12:00:00,2.0951,2.1204,2.0921,2.1178
1767531600,2026-01-04 13:00:00,2.1177,2.1177,2.0914,2.102
1767535200,2026-01-04 14:00:00,2.1019,2.1072,2.0814,2.0909
1767538800,2026-01-04 15:00:00,2.0909,2.0971,2.0823,2.0905
1767542400,2026-01-04 16:00:00,2.0906,2.0938,2.0831,2.0913
1767546000,2026-01-04 17:00:00,2.0912,2.1035,2.09,2.0956
1767549600,2026-01-04 18:00:00,2.0956,2.096,2.0741,2.0876
1767553200,2026-01-04 19:00:00,2.0877,2.0893,2.0722,2.0847
1767556800,2026-01-04 20:00:00,2.0848,2.0952,2.0812,2.0925
1767560400,2026-01-04 21:00:00,2.0926,2.1032,2.0891,2.097
1767564000,2026-01-04 22:00:00,2.097,2.1,2.0795,2.0863
1767567600,2026-01-04 23:00:00,2.0862,2.0982,2.0842,2.0909
1767571200,2026-01-05 00:00:00,2.0908,2.1174,2.0877,2.1127
1767574800,2026-01-05 01:00:00,2.1127,2.1665,2.1097,2.157
1767578400,2026-01-05 02:00:00,2.1571,2.1618,2.136,2.144
1767582000,2026-01-05 03:00:00,2.1441,2.1538,2.1371,2.1429
1767585600,2026-01-05 04:00:00,2.1429,2.1463,2.1182,2.1271
1767589200,2026-01-05 05:00:00,2.127,2.1382,2.1218,2.1234
1767592800,2026-01-05 06:00:00,2.1234,2.1286,2.11,2.1236
1767596400,2026-01-05 07:00:00,2.1237,2.1355,2.1235,2.134
1767600000,2026-01-05 08:00:00,2.134,2.153,2.1314,2.1397
1767603600,2026-01-05 09:00:00,2.1396,2.1476,2.1285,2.1377
1767607200,2026-01-05 10:00:00,2.1376,2.1495,2.1319,2.138
1767610800,2026-01-05 11:00:00,2.1379,2.138,2.1254,2.1336
1767614400,2026-01-05 12:00:00,2.1337,2.1382,2.1232,2.1273
1767618000,2026-01-05 13:00:00,2.1274,2.1319,2.1122,2.117
1767621600,2026-01-05 14:00:00,2.1171,2.154,2.1121,2.1498
1767625200,2026-01-05 15:00:00,2.1499,2.1695,2.1381,2.1652
1767628800,2026-01-05 16:00:00,2.1653,2.1966,2.1645,2.1943
1767632400,2026-01-05 17:00:00,2.1942,2.2078,2.1681,2.2072
1767636000,2026-01-05 18:00:00,2.2071,2.2694,2.1999,2.2674
1767639600,2026-01-05 19:00:00,2.2674,2.282,2.2581,2.2782
1767643200,2026-01-05 20:00:00,2.2782,2.3497,2.2761,2.3163
1767646800,2026-01-05 21:00:00,2.3163,2.3437,2.3127,2.3359
1767650400,2026-01-05 22:00:00,2.3358,2.3456,2.322,2.3352
1767654000,2026-01-05 23:00:00,2.3352,2.3695,2.3341,2.3478
1767657600,2026-01-06 00:00:00,2.3479,2.374,2.3164,2.3717
1767661200,2026-01-06 01:00:00,2.3718,2.405,2.3618,2.3742
1767664800,2026-01-06 02:00:00,2.3743,2.4172,2.3718,2.393
1767668400,2026-01-06 03:00:00,2.393,2.4016,2.3794,2.3861
1767672000,2026-01-06 04:00:00,2.386,2.394,2.3657,2.388
1767675600,2026-01-06 05:00:00,2.388,2.4084,2.3826,2.39
1767679200,2026-01-06 06:00:00,2.3901,2.4005,2.3746,2.3764
1767682800,2026-01-06 07:00:00,2.3764,2.3773,2.3215,2.3303
1767686400,2026-01-06 08:00:00,2.3304,2.3466,2.3254,2.3324
1767690000,2026-01-06 09:00:00,2.3323,2.36,2.3304,2.352
1767693600,2026-01-06 10:00:00,2.3521,2.3646,2.3463,2.3611
1767697200,2026-01-06 11:00:00,2.3612,2.3777,2.3566,2.3776
1767700800,2026-01-06 12:00:00,2.3776,2.3954,2.3684,2.3741
1767704400,2026-01-06 13:00:00,2.374,2.3799,2.3666,2.3716
1767708000,2026-01-06 14:00:00,2.3715,2.3996,2.3676,2.3794
1767711600,2026-01-06 15:00:00,2.3794,2.3925,2.3349,2.3491
1767715200,2026-01-06 16:00:00,2.349,2.3551,2.2671,2.2819
1767718800,2026-01-06 17:00:00,2.2818,2.2889,2.2079,2.2092
1767722400,2026-01-06 18:00:00,2.2091,2.256,2.2046,2.2458
1767726000,2026-01-06 19:00:00,2.2459,2.258,2.2246,2.2278
1767729600,2026-01-06 20:00:00,2.2277,2.2673,2.2276,2.2574
1767733200,2026-01-06 21:00:00,2.2574,2.2917,2.2494,2.2833
1767736800,2026-01-06 22:00:00,2.2832,2.2999,2.2753,2.2918
1767740400,2026-01-06 23:00:00,2.2918,2.3122,2.2866,2.3042
1767744000,2026-01-07 00:00:00,2.3042,2.3205,2.2824,2.283
1767747600,2026-01-07 01:00:00,2.283,2.2934,2.2565,2.2658
1767751200,2026-01-07 02:00:00,2.2657,2.28,2.2576,2.2756
1767754800,2026-01-07 03:00:00,2.2757,2.2813,2.2614,2.2665
1767758400,2026-01-07 04:00:00,2.2665,2.275,2.258,2.259
1767762000,2026-01-07 05:00:00,2.259,2.2649,2.2451,2.2518
1767765600,2026-01-07 06:00:00,2.2519,2.2704,2.2505,2.2643
1767769200,2026-01-07 07:00:00,2.2643,2.2867,2.2643,2.2803
1767772800,2026-01-07 08:00:00,2.2803,2.2913,2.2737,2.2838
1767776400,2026-01-07 09:00:00,2.2838,2.2841,2.2327,2.2402
1767780000,2026-01-07 10:00:00,2.2402,2.2529,2.2356,2.2493
1767783600,2026-01-07 11:00:00,2.2493,2.2583,2.2456,2.2503
1767787200,2026-01-07 12:00:00,2.2504,2.2556,2.2423,2.2479
1767790800,2026-01-07 13:00:00,2.248,2.2557,2.237,2.2444
1767794400,2026-01-07 14:00:00,2.2445,2.2448,2.2061,2.2292
1767798000,2026-01-07 15:00:00,2.2292,2.2302,2.1834,2.1955
1767801600,2026-01-07 16:00:00,2.1954,2.2233,2.1937,2.2019
1767805200,2026-01-07 17:00:00,2.2019,2.2099,2.1882,2.1937
1767808800,2026-01-07 18:00:00,2.1937,2.2042,2.1823,2.1879
1767812400,2026-01-07 19:00:00,2.188,2.199,2.171,2.1938
1767816000,2026-01-07 20:00:00,2.1938,2.199,2.172,2.1743
1767819600,2026-01-07 21:00:00,2.1742,2.1862,2.1728,2.1791
1767823200,2026-01-07 22:00:00,2.179,2.1923,2.1669,2.1694
1767826800,2026-01-07 23:00:00,2.1695,2.1816,2.1517,2.1657
1767830400,2026-01-08 00:00:00,2.1658,2.1742,2.1475,2.1699
1767834000,2026-01-08 01:00:00,2.17,2.191,2.1697,2.1826
1767837600,2026-01-08 02:00:00,2.1826,2.1925,2.16,2.1678
1767841200,2026-01-08 03:00:00,2.1678,2.1766,2.1456,2.1502
1767844800,2026-01-08 04:00:00,2.1502,2.1724,2.146,2.1619
1767848400,2026-01-08 05:00:00,2.1619,2.1664,2.1402,2.1431
1767852000,2026-01-08 06:00:00,2.1431,2.1467,2.108,2.1081
1767855600,2026-01-08 07:00:00,2.108,2.1233,2.0976,2.1197
1767859200,2026-01-08 08:00:00,2.1196,2.1344,2.108,2.1128
1767862800,2026-01-08 09:00:00,2.1127,2.122,2.094,2.0963
1767866400,2026-01-08 10:00:00,2.0964,2.1074,2.081,2.1036
1767870000,2026-01-08 11:00:00,2.1036,2.1055,2.0813,2.0922
1767873600,2026-01-08 12:00:00,2.0923,2.0923,2.0727,2.0812
1767877200,2026-01-08 13:00:00,2.0811,2.0956,2.0788,2.0875
1767880800,2026-01-08 14:00:00,2.0875,2.0985,2.0649,2.087
1767884400,2026-01-08 15:00:00,2.0869,2.1284,2.0737,2.1271
1767888000,2026-01-08 16:00:00,2.127,2.1456,2.112,2.1455
1767891600,2026-01-08 17:00:00,2.1456,2.1689,2.1386,2.1636
1767895200,2026-01-08 18:00:00,2.1635,2.165,2.1238,2.1368
1767898800,2026-01-08 19:00:00,2.1369,2.15,2.1304,2.1357
1767902400,2026-01-08 20:00:00,2.1356,2.1356,2.1132,2.127
1767906000,2026-01-08 21:00:00,2.1271,2.1446,2.1233,2.14
1767909600,2026-01-08 22:00:00,2.1399,2.1481,2.1216,2.1338
1767913200,2026-01-08 23:00:00,2.1338,2.1366,2.1212,2.1232
1767916800,2026-01-09 00:00:00,2.1232,2.1374,2.1212,2.1321
1767920400,2026-01-09 01:00:00,2.1322,2.1429,2.1095,2.1099
1767924000,2026-01-09 02:00:00,2.11,2.1364,2.1085,2.1182
1767927600,2026-01-09 03:00:00,2.1182,2.1369,2.1168,2.1355
1767931200,2026-01-09 04:00:00,2.1356,2.1382,2.127,2.1275
1767934800,2026-01-09 05:00:00,2.1275,2.1384,2.1255,2.1381
1767938400,2026-01-09 06:00:00,2.138,2.1474,2.1302,2.1439
1767942000,2026-01-09 07:00:00,2.144,2.144,2.1196,2.1202
1767945600,2026-01-09 08:00:00,2.1203,2.1236,2.0727,2.0839
1767949200,2026-01-09 09:00:00,2.0838,2.1081,2.0832,2.0962
1767952800,2026-01-09 10:00:00,2.0962,2.1062,2.0925,2.1006
1767956400,2026-01-09 11:00:00,2.1006,2.1091,2.0966,2.1028
1767960000,2026-01-09 12:00:00,2.1029,2.1046,2.0902,2.0969
1767963600,2026-01-09 13:00:00,2.0969,2.1193,2.0929,2.1061
1767967200,2026-01-09 14:00:00,2.1061,2.1079,2.0809,2.0906
1767970800,2026-01-09 15:00:00,2.0906,2.1622,2.0794,2.1176
1767974400,2026-01-09 16:00:00,2.1177,2.1453,2.1154,2.1318
1767978000,2026-01-09 17:00:00,2.1318,2.1328,2.0923,2.1074
1767981600,2026-01-09 18:00:00,2.1073,2.1103,2.0759,2.0925
1767985200,2026-01-09 19:00:00,2.0925,2.0931,2.0781,2.083
1767988800,2026-01-09 20:00:00,2.0829,2.0929,2.0801,2.0848
1767992400,2026-01-09 21:00:00,2.0848,2.0954,2.0762,2.0927
1767996000,2026-01-09 22:00:00,2.0927,2.1013,2.088,2.0979
1767999600,2026-01-09 23:00:00,2.098,2.0987,2.0918,2.0958
1768003200,2026-01-10 00:00:00,2.0958,2.0971,2.0892,2.0923
1768006800,2026-01-10 01:00:00,2.0922,2.0974,2.09,2.0955
1768010400,2026-01-10 02:00:00,2.0956,2.1016,2.0901,2.0945
